wavelength,sigma.r,sigma.fr
350,1048,261
352,1124,271
354,1190,274
356,1263,282
358,1326,291
360,1389,301
362,1436,312
364,1468,326
366,1484,335
368,1517,349
370,1529,365
372,1540,381
374,1545,397
376,1577,411
378,1577,426
380,1586,442
382,1572,451
384,1557,464
386,1505,485
388,1464,496
390,1381,511
392,1294,524
394,1215,534
396,1097,540
398,1004,553
400,904,559
402,810,563
404,733,568
406,668,571
408,604,573
410,561,570
412,519,564
414,471,557
416,427,543
418,408,528
420,366,507
422,348,489
424,320,454
426,308,431
428,292,401
430,274,377
432,263,353
434,244,325
436,244,300
438,230,273
440,230,261
442,209,233
444,196,217
446,184,202
448,172,186
450,162,169
452,162,155
454,150,144
456,143,132
458,128,126
460,128,112
462,119,106
464,119,99.1
466,107,93.1
468,107,87.7
470,101,81.9
472,101,75.7
474,92.9,72.2
476,92.9,71.8
478,84.6,62.5
480,84.6,57.8
482,84.6,53.1
484,74.8,49.6
486,74.8,49.6
488,74.8,49.6
490,74.8,44.9
492,68.7,45.2
494,68.7,41.6
496,68.7,41.6
498,68.7,36.9
500,68.7,36.9
502,77,36.5
504,77,37.6
506,77,32.9
508,77,32.9
510,77,32.9
512,77,32.9
514,88.4,33.3
516,93.7,27.3
518,110,26.4
520,110,26.4
522,109,26.3
524,122,30.9
526,130,30.4
528,130,30.4
530,137,30
532,153,29.2
534,168,28.4
536,168,28.4
538,186,32.9
540,202,32.1
542,221,33.3
544,239,32.3
546,252,35.2
548,270,34.3
550,304,39.3
552,311,39
554,343,37.3
556,369,43.9
558,403,42.1
560,421,45.8
562,435,45.1
564,468,49.9
566,504,55.6
568,523,54.6
570,560,61.3
572,595,59.5
574,640,65.8
576,679,69.5
578,735,73.1
580,789,76.7
582,844,80.7
584,908,84.2
586,967,93
588,1052,95.1
590,1122,99.7
592,1201,110
594,1304,121
596,1381,124
598,1477,136
600,1576,146
602,1665,148
604,1745,157
606,1815,161
608,1894,171
610,1950,179
612,2015,192
614,2063,199
616,2104,212
618,2141,218
620,2184,232
622,2247,244
624,2303,257
626,2361,269
628,2454,282
630,2540,301
632,2657,321
634,2803,333
636,2917,352
638,3070,376
640,3220,396
642,3418,416
644,3613,439
646,3791,460
648,3982,485
650,4242,510
652,4444,531
654,4624,558
656,4887,587
658,5089,611
660,5250,634
662,5414,660
664,5535,680
666,5601,705
668,5582,724
670,5519,740
672,5322,754
674,5115,765
676,4764,784
678,4378,798
680,4052,809
682,3594,826
684,3119,842
686,2689,857
688,2307,878
690,1906,899
692,1563,917
694,1276,942
696,1014,965
698,809,994
700,649,1027
702,527,1054
704,427,1089
706,331,1125
708,277,1151
710,236,1195
712,187,1232
714,169,1268
716,147,1298
718,135,1337
720,117,1374
722,103,1405
724,103,1438
726,92.1,1459
728,92.1,1483
730,80.8,1502
732,80.8,1508
734,73.3,1513
736,73.3,1505
738,73.3,1488
740,73.3,1467
742,73.3,1435
744,73.3,1394
746,73.3,1338
748,61.9,1281
750,61.9,1209
752,61.9,1132
754,61.9,1056
756,61.9,983
758,61.9,903
760,61.9,839
762,61.9,738
764,61.9,677
766,61.9,616
768,61.9,539
770,49.8,475
772,49.8,422
774,49.8,367
776,49.8,322
778,49.8,287
780,49.8,248
782,49.8,224
784,49.8,196
786,49.8,177
788,49.8,153
790,49.8,138
792,49.8,130
794,49.8,117
796,49.8,102
798,49.8,92.2
800,49.8,92.2